age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
43.0,70.0,169.0,72.0,25.0,39.0,46.0,40.0,120.0,155.0,29.25,29.55,0.0,8.0,1.0
34.0,69.0,145.0,73.0,24.0,31.0,60.0,73.0,80.0,250.0,35.1,35.825,12.0,11.0,1.0
27.0,67.0,148.0,70.0,21.0,30.0,55.0,145.0,125.0,193.0,29.575,30.48,13.0,12.0,1.0
26.0,62.5,105.0,61.75,11.0,29.0,39.0,44.45,45.85,83.2,31.5,31.455,6.0,5.0,0.0
35.0,72.0,170.0,75.0,15.0,29.0,60.0,110.0,70.0,138.0,0.0,0.0,8.0,7.0,1.0
27.0,70.0,175.0,73.0,19.0,31.0,36.0,94.0,94.0,138.0,35.0,34.0,8.0,8.0,1.0
33.0,67.0,127.0,68.5,24.0,70.0,75.0,84.7,100.1,177.5,34.65,35.61,8.0,7.0,1.0
21.0,71.0,165.0,69.0,17.0,40.0,45.0,60.0,85.0,57.0,27.0,29.0,5.0,5.0,1.0
33.0,62.0,110.0,63.0,4.0,10.0,37.0,20.0,9.0,60.0,18.0,18.0,4.0,5.0,0.0
30.0,70.0,130.0,72.0,14.0,24.0,32.0,45.0,60.0,56.0,28.375,29.25,6.0,8.0,1.0
25.0,66.5,143.0,69.0,13.0,29.0,35.0,49.1,59.2,107.3,31.47,31.275,4.0,4.0,1.0
31.0,70.5,158.0,70.74,11.0,34.0,27.0,23.0,55.0,5.0,34.783,35.81,0.0,4.0,1.0
19.0,68.0,142.0,70.0,25.0,25.0,60.0,85.0,100.0,7.0,38.0,37.0,9.0,8.0,1.0
35.0,66.0,127.0,65.0,9.0,21.0,32.0,35.0,53.0,118.0,30.915,30.93,6.0,5.0,1.0
25.0,75.0,170.0,78.0,10.0,25.0,34.1,40.0,45.0,96.6,35.425,35.35,7.0,6.0,1.0
34.0,70.1,147.0,70.53999999999999,11.0,15.0,26.8,21.0,43.0,60.0,27.05,26.65,2.0,4.0,1.0
30.0,72.0,170.0,75.0,26.0,45.0,70.0,115.0,115.0,170.0,35.45,35.81,11.0,9.0,1.0
24.0,71.0,155.0,71.0,12.0,24.8,26.9,32.0,45.0,85.0,31.95,30.575,0.0,7.0,1.0
33.0,72.45,163.0,72.45,9.0,16.0,18.0,7.0,68.0,3.0,31.75,31.175,0.0,4.0,1.0
32.0,62.0,117.0,61.0,12.0,33.0,70.0,85.0,65.0,150.0,31.5,32.230000000000004,9.0,8.0,0.0
38.0,70.5,160.0,69.5,23.0,60.0,28.0,33.0,99.0,120.0,31.545,32.0,0.0,6.0,1.0
39.0,68.0,158.0,69.0,11.0,27.0,34.0,23.0,62.0,75.0,28.0,27.0,5.0,4.0,1.0
